"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"28835-9715","SG","Marco","Marco Belinelli","Belinelli","18.9125","80","4100","DET@SA","SA","DET","","","","",""
"28835-66046","SG","Luke","Luke Kennard","Kennard","14.482191111943493","73","4100","DET@SA","DET","SA","","","","",""
"28835-84695","SG","Gary","Gary Trent Jr.","Trent Jr.","0","0","4000","POR@PHO","POR","PHO","","","","",""
"28835-23825","C","Nerlens","Nerlens Noel","Noel","16.520000203450522","30","4000","OKC@MIN","OKC","MIN","","","","",""
"28835-40769","PF","Jordan","Jordan Bell","Bell","15.53333376165022","57","4000","SAC@GS","GS","SAC","","","","",""
"28835-60233","SF","Dillon","Dillon Brooks","Brooks","18.950602703783886","83","4000","ATL@MEM","MEM","ATL","","","","",""
"28835-9713","PG","Jarrett","Jarrett Jack","Jack","19.664515341481856","62","4000","NO@NY","NO","NY","","","","",""
"28835-9731","C","Kosta","Kosta Koufos","Koufos","19.223944005831868","71","3900","SAC@GS","SAC","GS","O","Hamstring","","",""
"28835-18600","SG","Tyler","Tyler Johnson","Johnson","22.07083299424913","72","3900","MIA@WAS","MIA","WAS","","","","",""
"28835-58083","C","Jahlil","Jahlil Okafor","Okafor","12.071428571428571","28","3900","NO@NY","NO","NY","O","Ankle","","",""
"28835-9475","PG","Derrick","Derrick Rose","Rose","12.18","25","3900","OKC@MIN","MIN","OKC","","","","",""
"28835-9479","SF","Luol","Luol Deng","Deng","5.5","1","3900","OKC@MIN","MIN","OKC","","","","",""
"28835-9585","SG","Dwyane","Dwyane Wade","Wade","23.782089916627797","67","3900","MIA@WAS","MIA","WAS","","","","",""
"28835-80819","PF","Harry","Harry Giles III","Giles III","0","0","3900","SAC@GS","SAC","GS","","","","",""
"28835-9772","PF","Ryan","Ryan Anderson","Anderson","18.124241684422348","66","3800","POR@PHO","PHO","POR","","","","",""
"28835-17541","SF","James","James Nunnally","Nunnally","0","0","3800","OKC@MIN","MIN","OKC","","","","",""
"28835-63124","PG","Emmanuel","Emmanuel Mudiay","Mudiay","16.990625381469727","64","3800","NO@NY","NY","NO","","","","",""
"28835-80813","PG","Frank","Frank Ntilikina","Ntilikina","15.11012596420095","79","3800","NO@NY","NY","NO","","","","",""
