"Rank","WSIS","Flex Position (RB/WR/TE)","Team","Pos","Opp","Best","Worst","Avg","Std Dev"
"155","","Nick Chubb","CLE","RB60","vs. PIT","96","195","149.6","21.9"
"156","","Austin Hooper","ATL","TE23","at PHI","110","203","155.2","19.6"
"157","","Mike Gesicki","MIA","TE24","vs. TEN","94","202","154.9","19.6"
"158","","Albert Wilson","MIA","WR74","vs. TEN","87","189","151.9","17.3"
"159","","Cole Beasley","DAL","WR75","at CAR","76","199","157.1","23.0"
"160","","Bruce Ellington","HOU","WR76","at NE","96","211","166.9","37.3"
"161","","Antonio Gates","LAC","TE25","vs. KC","106","202","159.9","20.6"
"162","","T.J. Yeldon","JAC","RB61","at NYG","93","203","160.3","22.2"
"163","","Dallas Goedert","PHI","TE26","vs. ATL","112","213","167.4","22.2"
"164","","Cordarrelle Patterson","NE","WR77","vs. HOU","100","205","162.9","22.9"
"165","","Robert Kelley","WAS","RB62","at ARI","123","202","162.5","26.7"
"166","","Nick Vannett","SEA","TE27","at DEN","62","203","165.5","22.9"
"167","","Taywan Taylor","TEN","WR78","at MIA","104","189","157.6","15.3"
"168","","Christine Michael","IND","RB63","vs. CIN","109","200","170.5","26.8"
"169","","Antonio Callaway","CLE","WR79","vs. PIT","78","215","170.0","24.6"
"170","","Jesse James","PIT","TE28","at CLE","67","209","170.9","24.9"
"171","","Jaylen Samuels","PIT","TE29","at CLE","95","224","168.6","37.4"
"172","","Spencer Ware","KC","RB64","at LAC","116","198","166.2","19.5"
"173","","Brandon Marshall","SEA","WR80","at DEN","117","201","167.1","18.8"
"174","","Ryan Griffin","HOU","TE30","at NE","120","207","175.6","22.3"
"175","","James Washington","PIT","WR81","at CLE","131","188","156.1","10.1"
"176","","Tyler Boyd","CIN","WR82","at IND","72","211","177.2","24.7"
"177","","Christian Kirk","ARI","WR83","vs. WAS","124","183","161.0","11.6"
"178","","Nyheim Hines","IND","RB65","vs. CIN","125","194","168.3","15.6"
"179","","Kenneth Dixon","BAL","RB66","vs. BUF","112","199","174.2","17.9"
"180","","Boston Scott","FA","RB67","","102","177","158.4","18.8"
"181","","Chris Ivory","BUF","RB68","at BAL","131","200","168.3","16.5"
"182","","Jonathan Williams","NO","RB69","vs. TB","122","200","166.2","27.3"
"183","","Jalen Richard","OAK","RB70","vs. LAR","96","193","171.3","18.9"
"184","","Jaron Brown","SEA","WR84","at DEN","120","201","174.8","16.7"
"185","","Alfred Blue","HOU","RB71","at NE","136","205","174.7","19.6"
"186","","Garrett Celek","SF","TE31","at MIN","109","220","186.5","26.3"
"187","","Tre'Quan Smith","NO","WR85","vs. TB","130","201","170.8","14.0"
