,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Unnamed: 14,Unnamed: 15,ID,Player,mean,median
108,9580,PF,Darrell,Darrell Arthur,Arthur,5.447368421052633,19,3500,SAC@PHO,PHO,SAC,,,,,,9580.0,Darrell Arthur,5.447368421052633,4.0
110,41083,PF,Luke,Luke Kornet,Kornet,15.040000000000001,20,3500,NY@WAS,NY,WAS,,,,,,41083.0,Luke Kornet,15.040000000000001,11.350000000000001
111,23676,SG,Damyean,Damyean Dotson,Dotson,8.052272727272726,44,3500,NY@WAS,NY,WAS,,,,,,23676.0,Damyean Dotson,8.052272727272726,5.1
112,9862,PF,Amir,Amir Johnson,Johnson,15.199999999999996,74,3500,ORL@PHI,PHI,ORL,,,,,,9862.0,Amir Johnson,15.199999999999996,13.5
113,12424,C,Timofey,Timofey Mozgov,Mozgov,9.229032258064514,31,3500,ORL@PHI,ORL,PHI,,,,,,12424.0,Timofey Mozgov,9.229032258064514,9.0
114,15762,SF,Darius,Darius Miller,Miller,13.113414634146343,82,3500,NO@ATL,NO,ATL,O,Biceps,,,,15762.0,Darius Miller,13.113414634146343,12.649999999999999
116,9631,C,Emeka,Emeka Okafor,Okafor,13.461538461538456,26,3500,ORL@PHI,PHI,ORL,,,,,,9631.0,Emeka Okafor,13.461538461538456,11.8
118,42661,PF,Noah,Noah Vonleh,Vonleh,14.17037037037037,54,3500,NY@WAS,NY,WAS,,,,,,42661.0,Noah Vonleh,14.17037037037037,11.75
119,42662,SF,Troy,Troy Williams,Williams,13.225,21,3500,NO@ATL,NO,ATL,,,,,,42662.0,Troy Williams,13.225,15.55
120,70826,SG,Furkan,Furkan Korkmaz,Korkmaz,3.5142857142857147,14,3500,ORL@PHI,PHI,ORL,,,,,,70826.0,Furkan Korkmaz,3.5142857142857147,2.5
121,58800,SG,Daniel,Daniel Hamilton,Hamilton,5.166666666666666,6,3500,NO@ATL,ATL,NO,O,Shoulder,,,,58800.0,Daniel Hamilton,5.166666666666666,1.35
122,58289,PG,Kadeem,Kadeem Allen,Allen,3.1222222222222222,18,3500,NY@WAS,NY,WAS,,,,,,58289.0,Kadeem Allen,3.1222222222222222,1.25
123,49336,SF,DeAndre',DeAndre' Bembry,Bembry,13.380769230769232,26,3500,NO@ATL,ATL,NO,GTD,Wrist,,,,49336.0,DeAndre' Bembry,13.380769230769232,13.100000000000001
125,48570,PF,Isaiah,Isaiah Hicks,Hicks,8.622222222222222,18,3500,NY@WAS,NY,WAS,,,,,,48570.0,Isaiah Hicks,8.622222222222222,4.95
127,23744,SG,Justin,Justin Anderson,Anderson,11.497368421052629,38,3500,NO@ATL,ATL,NO,O,Leg,,,,23744.0,Justin Anderson,11.497368421052629,10.149999999999999
128,22727,SG,Ron,Ron Baker,Baker,8.810344827586205,29,3500,NY@WAS,NY,WAS,GTD,Shoulder,,,,22727.0,Ron Baker,8.810344827586205,7.4
133,23248,SG,RJ,RJ Hunter,Hunter,7.3,5,3500,NO@ATL,ATL,NO,,,,,,23248.0,R.J. Hunter,7.3,2.7
138,49114,PG,Frank,Frank Mason,Mason,16.509615384615387,52,3500,SAC@PHO,SAC,PHO,,,,,,49114.0,Frank Mason,16.509615384615387,15.25
139,16859,SF,Lance,Lance Thomas,Thomas,9.109589041095889,73,3500,NY@WAS,NY,WAS,,,,,,16859.0,Lance Thomas,9.109589041095889,8.2
141,23772,PG,Yogi,Yogi Ferrell,Ferrell,19.310975609756106,82,3500,SAC@PHO,SAC,PHO,,,,,,23772.0,Yogi Ferrell,19.310975609756106,18.0
143,9953,C,Ian,Ian Mahinmi,Mahinmi,12.45324675324675,77,3500,NY@WAS,WAS,NY,,,,,,9953.0,Ian Mahinmi,12.45324675324675,12.6
144,17894,PF,Mike,Mike Muscala,Muscala,16.78301886792453,53,3500,ORL@PHI,PHI,ORL,,,,,,17894.0,Mike Muscala,16.78301886792453,16.8
145,15591,C,Miles,Miles Plumlee,Plumlee,11.929090909090908,55,3500,NO@ATL,ATL,NO,,,,,,15591.0,Miles Plumlee,11.929090909090908,11.7
146,9968,SG,Jodie,Jodie Meeks,Meeks,10.457142857142856,77,3500,NY@WAS,WAS,NY,O,Suspension,,,,9968.0,Jodie Meeks,10.457142857142856,9.2
147,67312,C,Thomas,Thomas Bryant,Bryant,3.8933333333333335,15,3500,NY@WAS,WAS,NY,,,,,,67312.0,Thomas Bryant,3.8933333333333335,3.0
